comment,satisfaction_percentage
Product compatibility wasn't verified by staff. Now I have a laptop docking station I can't use for school work.,45
Decent experience. Staff helped me choose a scanner that fits my budget and requirements.,76
Below average experience. The cooling fan feels cheaply made and staff wasn't very helpful.,35
The gaming mousepad doesn't match the product code. Got something completely different than ordered.,10
Online order tracking for my DisplayPort cable was accurate to the minute. Delivery person was professional and careful.,90
Store layout changed since last visit. Took a while to find laptop cooling pad items in new locations.,63
Delivery was on time but packaging was minimal for my microphone. Product was fine though.,60
Satisfied customer here. My monitor arm works great and Raqmiya's return policy gives peace of mind.,72
Raqmiya has the best prices and quality. My LED strip has been working great for months now.,94
The RAM modules meets basic expectations but doesn't exceed them. Installation instructions were unclear for video editing setup.,55
Solid purchase. My memory card has been reliable and the installation guide was helpful.,80
The office chair has connectivity issues. Tech support wasn't much help resolving the problem.,41
The upgraded cable management kit model I paid extra for has same performance as the basic version.,35
The staff went above and beyond to ensure I got the right wireless keyboard. Excellent customer care!,95
Disappointed that my sound card for data analysis doesn't perform as demonstrated in store. Feels like false advertising.,41
The HDD does basic tasks well but struggles with more demanding game development applications.,54
Raqmiya sets the standard for customer service. They followed up after my PSU purchase to ensure everything worked.,91
Raqmiya sets the standard for customer service. They followed up after my microphone purchase to ensure everything worked.,98
My trackball mouse for architectural design works flawlessly. Raqmiya's installation service saved me hours of setup time.,87
Got a middle-tier CPU cooler that's functioning adequately. Wish I had spent more for better specs.,59
Bought a UPS that's decent quality. Nothing special but gets the work done.,55
The webcam didn't meet the specifications listed on the website for 3D modeling.,41
My thermal paste makes strange noises during operation. Store technician said it's 'normal' but I'm not convinced.,42
Got my keyboard and mouse combo but had to visit twice because first one was out of stock despite confirmation call.,50
The keyboard and mouse combo quality is acceptable but I've seen similar items cheaper elsewhere online.,53
